fixture,sequence,operation,context_bytes,checkpoint_bytes,audit_fact_bytes,object_occurrences,repeated_occurrences,metadata_bytes,frame_bytes,history_bytes
portfolio,1,admitted,516,0,45839,2,0,1284,47639,47639
portfolio,2,succeeded,1069,0,0,2,0,1427,2496,50135
portfolio,3,succeeded,1634,0,0,2,0,1422,3056,53191
portfolio,4,succeeded,2182,0,612,4,0,1972,4766,57957
portfolio,5,succeeded,2310,0,699,4,0,1972,4981,62938
portfolio,6,succeeded,2454,0,844,4,0,1972,5270,68208
portfolio,7,succeeded,2564,0,926,4,0,1972,5462,73670
portfolio,8,succeeded,2240,0,0,2,0,1433,3673,77343
portfolio,9,succeeded,1745,0,0,2,0,1436,3181,80524
portfolio,10,succeeded,1423,0,0,2,0,1429,2852,83376
portfolio_failure,1,admitted,516,0,45839,2,0,1284,47639,47639
portfolio_failure,2,succeeded,1069,0,0,2,0,1427,2496,50135
portfolio_failure,3,succeeded,1634,0,0,2,0,1422,3056,53191
portfolio_failure,4,failed,1081,0,703,4,0,1982,3766,56957
portfolio_failure,5,recovered,1081,0,789,5,0,2364,4234,61191
anchored_success,1,admitted,2329,0,6843,2,0,1052,10224,10224
anchored_success,2,succeeded,5260,0,857,4,0,1754,7871,18095
anchored_failure,1,admitted,2329,0,6843,2,0,1052,10224,10224
anchored_failure,2,failed,2329,0,3563,4,0,1782,7674,17898
anchored_failure,3,recovered,2329,0,6402,5,1,2164,10895,28793
transaction,1,admitted,656,0,24758,2,0,1136,26550,26550
transaction,2,effect_prepared,656,0,663,2,0,1375,2694,29244
transaction,3,effect_settled,656,0,1290,3,0,1655,3601,32845
transaction,4,succeeded,2003,0,1290,4,0,1936,5229,38074
transaction,5,effect_prepared,1347,0,1317,2,0,1368,4032,42106
transaction,6,effect_settled,1347,0,1506,3,0,1663,4516,46622
transaction,7,succeeded,2911,0,1506,4,0,1944,6361,52983
transaction,8,effect_prepared,1564,0,1418,2,0,1368,4350,57333
transaction,9,effect_settled,1564,0,1837,3,0,1653,5054,62387
transaction,10,succeeded,3574,0,1837,4,0,1935,7346,69733
transaction,11,succeeded,4108,0,0,2,0,1266,5374,75107
transaction_recovered,1,admitted,656,0,24758,2,0,1136,26550,26550
transaction_recovered,2,effect_prepared,656,0,663,2,0,1375,2694,29244
transaction_recovered,3,failed,656,0,695,3,0,1678,3029,32273
transaction_recovered,4,recovered,656,0,695,3,0,1799,3150,35423
transaction_recovered,5,effect_settled,656,0,1290,3,0,1655,3601,39024
transaction_recovered,6,succeeded,2003,0,1290,4,0,1936,5229,44253
transaction_recovered,7,effect_prepared,1347,0,1317,2,0,1368,4032,48285
transaction_recovered,8,effect_settled,1347,0,1506,3,0,1663,4516,52801
transaction_recovered,9,succeeded,2911,0,1506,4,0,1944,6361,59162
transaction_recovered,10,effect_prepared,1564,0,1418,2,0,1369,4351,63513
transaction_recovered,11,effect_settled,1564,0,1837,3,0,1654,5055,68568
transaction_recovered,12,succeeded,3574,0,1837,4,0,1935,7346,75914
transaction_recovered,13,succeeded,4108,0,0,2,0,1266,5374,81288
checkpoints_identical,1,admitted,656,656,10387,3,1,1388,13087,13087
checkpoints_identical,2,succeeded,1312,1312,0,4,3,1800,4424,17511
checkpoints_identical,3,succeeded,1312,1312,0,4,3,1800,4424,21935
checkpoints_identical,4,succeeded,1312,1312,0,4,3,1800,4424,26359
checkpoints_distinct,1,admitted,656,656,10387,3,1,1388,13087,13087
checkpoints_distinct,2,succeeded,1312,1312,0,4,2,1800,4424,17511
checkpoints_distinct,3,succeeded,1312,1312,0,4,2,1800,4424,21935
checkpoints_distinct,4,succeeded,1312,1312,0,4,2,1800,4424,26359
retry_short,1,admitted,2329,0,6845,2,0,1052,10226,10226
retry_short,2,failed,2329,0,569,3,0,1465,4363,14589
retry_short,3,recovered,2329,0,569,3,0,1551,4449,19038
retry_short,4,succeeded,5260,0,857,4,0,1754,7871,26909
retry_long,1,admitted,2329,0,6845,2,0,1052,10226,10226
retry_long,2,failed,2329,0,569,3,0,1465,4363,14589
retry_long,3,recovered,2329,0,569,3,0,1551,4449,19038
retry_long,4,failed,2329,0,569,3,0,1465,4363,23401
retry_long,5,recovered,2329,0,569,3,0,1551,4449,27850
retry_long,6,failed,2329,0,569,3,0,1465,4363,32213
retry_long,7,recovered,2329,0,569,3,0,1551,4449,36662
retry_long,8,failed,2329,0,569,3,0,1465,4363,41025
retry_long,9,recovered,2329,0,569,3,0,1551,4449,45474
retry_long,10,failed,2329,0,569,3,0,1466,4364,49838
retry_long,11,recovered,2329,0,569,3,0,1552,4450,54288
retry_long,12,succeeded,5260,0,857,4,0,1755,7872,62160
