layer,surface,entry,execution_owner_today,run_backed,state_composed,status,tags,evidence
cli,command,mfm keystore import,bin/cli + support keystore manager + core keystore,false,false,Not aligned,B1,"bin/cli/src/commands/keystore/import.rs:78;bin/cli/src/commands/keystore/import.rs:114;bin/cli/src/support/keystore_manager.rs:31"
cli,command,mfm keystore list,bin/cli + support keystore manager + core keystore,false,false,Not aligned,B1,"bin/cli/src/commands/keystore/list.rs:62;bin/cli/src/commands/keystore/list.rs:68"
cli,command,mfm keystore delete,bin/cli + support keystore manager + core keystore,false,false,Not aligned,B1,"bin/cli/src/commands/keystore/delete.rs:50;bin/cli/src/commands/keystore/delete.rs:117"
cli,command,mfm keystore tx-sign,cli wrapper -> sdk single-op -> keystore_tx_sign,true,true,Contract gap,"B4|B5","bin/cli/src/commands/keystore/tx_sign.rs:117;crates/ops/keystore-tx-op/src/lib.rs:113;crates/ops/keystore-tx-op/src/lib.rs:516"
cli,command,mfm keystore tx-send-raw,cli wrapper -> sdk single-op -> keystore_tx_send_raw,true,true,Contract gap,B4,"bin/cli/src/commands/keystore/tx_send_raw.rs:56;crates/ops/keystore-tx-op/src/lib.rs:191;crates/ops/keystore-tx-op/src/lib.rs:356"
cli,command,mfm portfolio snapshot,cli wrapper -> feature catalog -> app feature helper,true,partial,Partially aligned,B2,"bin/cli/src/commands/portfolio/snapshot.rs:50;crates/app/src/lib.rs:695"
cli,command,mfm run start,cli wrapper -> AppServices::start_run,true,depends_on_target_op,Aligned,,"bin/cli/src/commands/run/start.rs:46;crates/app/src/lib.rs:471"
cli,command,mfm run pipeline start,cli wrapper -> AppServices::start_run,true,true,Aligned,,"bin/cli/src/commands/run/pipeline.rs:94;crates/app/src/lib.rs:471"
cli,command,mfm run pipeline deploy-configure-validate,cli wrapper -> app template helper,true,partial,Partially aligned,B2,"bin/cli/src/commands/run/pipeline.rs:141;crates/app/src/lib.rs:682;crates/app/src/lib.rs:1057"
cli,command,mfm run resume,cli wrapper -> AppServices::resume_run,true,n/a,Aligned,,"bin/cli/src/commands/run/resume.rs:35;crates/app/src/lib.rs:528"
