tier,layer,surface,entry,execution_owner_today,run_backed,state_composed,op_thinness,shared_states,oplocal_states,status,tags,evidence
1,cli,command,mfm keystore import,cli wrapper -> single-op helper -> keystore_import,true,true,n/a,n/a,n/a,Aligned,,"bin/cli/src/commands/keystore/import.rs:103;crates/ops/keystore-admin-op/src/lib.rs:101;crates/ops/common/src/states/keystore_admin.rs:138;crates/ops/common/src/local_io.rs:48"
1,cli,command,mfm keystore list,cli wrapper -> single-op helper -> keystore_list,true,true,n/a,n/a,n/a,Aligned,,"bin/cli/src/commands/keystore/list.rs:83;crates/ops/keystore-admin-op/src/lib.rs:160;crates/ops/common/src/states/keystore_admin.rs:215;crates/ops/common/src/local_io.rs:49"
1,cli,command,mfm keystore delete,cli wrapper -> single-op helper -> keystore_delete,true,true,n/a,n/a,n/a,Aligned,,"bin/cli/src/commands/keystore/delete.rs:64;crates/ops/keystore-admin-op/src/lib.rs:229;crates/ops/common/src/states/keystore_admin.rs:291;crates/ops/common/src/local_io.rs:50"
1,cli,command,mfm keystore tx-sign,cli wrapper -> single-op helper -> keystore_tx_sign,true,true,n/a,n/a,n/a,Aligned,,"bin/cli/src/commands/keystore/tx_sign.rs:117;crates/ops/keystore-tx-op/src/lib.rs:260;crates/ops/keystore-tx-op/src/lib.rs:275;crates/ops/common/src/local_io.rs:51"
1,cli,command,mfm keystore tx-send-raw,cli wrapper -> single-op helper -> keystore_tx_send_raw,true,true,n/a,n/a,n/a,Aligned,,"bin/cli/src/commands/keystore/tx_send_raw.rs:56;crates/ops/keystore-tx-op/src/lib.rs:335;crates/ops/keystore-tx-op/src/lib.rs:350;crates/ops/common/src/local_io.rs:52"
1,cli,command,mfm portfolio snapshot,cli wrapper -> feature catalog -> portfolio_tracker op,true,true,n/a,n/a,n/a,Partially aligned,B1,"bin/cli/src/commands/portfolio/snapshot.rs:33;crates/app/src/lib.rs:706;crates/ops/portfolio-tracker-op/src/lib.rs:265"
1,cli,command,mfm run start,cli wrapper -> AppServices::start_run,true,depends_on_target_op,n/a,n/a,n/a,Aligned,,"bin/cli/src/commands/run/start.rs:47;crates/app/src/lib.rs:482"
1,cli,command,mfm run pipeline start,cli wrapper -> AppServices::start_run,true,true,n/a,n/a,n/a,Aligned,,"bin/cli/src/commands/run/pipeline.rs:101;crates/app/src/lib.rs:482"
1,cli,command,mfm run pipeline deploy-configure-validate,cli wrapper -> app helper -> evm_deploy_configure_validate,true,true,n/a,n/a,n/a,Partially aligned,B1,"bin/cli/src/commands/run/pipeline.rs:115;crates/app/src/lib.rs:693;crates/app/src/lib.rs:975;crates/ops/evm-deploy-configure-validate-op/src/lib.rs:26"
1,cli,command,mfm run resume,cli wrapper -> AppServices::resume_run,true,n/a,n/a,n/a,n/a,Aligned,,"bin/cli/src/commands/run/resume.rs:36;crates/app/src/lib.rs:541"
1,cli,command,mfm run status,cli wrapper -> AppServices::run_status,n/a,n/a,n/a,n/a,n/a,Aligned,,"bin/cli/src/commands/run/status.rs:36;crates/app/src/lib.rs:570"
1,cli,command,mfm run events,cli wrapper -> AppServices::run_events,n/a,n/a,n/a,n/a,n/a,Aligned,,"bin/cli/src/commands/run/events.rs:44;crates/app/src/lib.rs:649"
1,cli,command,mfm run artifacts get,cli wrapper -> app artifact helper,n/a,n/a,n/a,n/a,n/a,Aligned,,"bin/cli/src/commands/run/artifacts.rs:42;crates/app/src/lib.rs:787"
1,rest,route,GET /v1/health,rest adapter health probe,n/a,n/a,n/a,n/a,n/a,Aligned,,"bin/rest-api/src/lib.rs:146;bin/rest-api/src/lib.rs:196"
1,rest,route,GET /v1/ready,rest adapter readiness probes,n/a,n/a,n/a,n/a,n/a,Aligned,,"bin/rest-api/src/lib.rs:147;bin/rest-api/src/lib.rs:201"
1,rest,route,GET /v1/features,rest adapter feature descriptors,n/a,n/a,n/a,n/a,n/a,Aligned,,"bin/rest-api/src/lib.rs:148;bin/rest-api/src/lib.rs:340"
1,rest,route,POST /v1/features/:feature_id/execute,rest adapter -> feature catalog,depends_on_feature,depends_on_feature,n/a,n/a,n/a,Aligned,,"bin/rest-api/src/lib.rs:149;bin/rest-api/src/lib.rs:348;crates/app/src/lib.rs:1279"
1,rest,route,POST /v1/runs/start,rest adapter -> AppServices::start_run,true,depends_on_target_op,n/a,n/a,n/a,Aligned,,"bin/rest-api/src/lib.rs:150;bin/rest-api/src/lib.rs:246;crates/app/src/lib.rs:482"
1,rest,route,POST /v1/runs/:run_id/resume,rest adapter -> AppServices::resume_run,true,n/a,n/a,n/a,n/a,Aligned,,"bin/rest-api/src/lib.rs:151;bin/rest-api/src/lib.rs:259;crates/app/src/lib.rs:541"
1,rest,route,GET /v1/runs/:run_id/status,rest adapter -> AppServices::run_status,n/a,n/a,n/a,n/a,n/a,Aligned,,"bin/rest-api/src/lib.rs:152;bin/rest-api/src/lib.rs:271;crates/app/src/lib.rs:570"
1,rest,route,GET /v1/runs/:run_id/events,rest adapter -> AppServices::run_events,n/a,n/a,n/a,n/a,n/a,Aligned,,"bin/rest-api/src/lib.rs:153;bin/rest-api/src/lib.rs:287;crates/app/src/lib.rs:649"
1,rest,route,GET /v1/artifacts/:artifact_id,rest adapter -> AppServices::artifact_get,n/a,n/a,n/a,n/a,n/a,Aligned,,"bin/rest-api/src/lib.rs:154;bin/rest-api/src/lib.rs:300;crates/app/src/lib.rs:689"
1,app,feature,run.start,FeatureCatalog -> AppServices::start_run,true,depends_on_target_op,n/a,n/a,n/a,Aligned,,"crates/app/src/lib.rs:1074;crates/app/src/lib.rs:1090;crates/app/src/lib.rs:1291"
1,app,feature,run.resume,FeatureCatalog -> AppServices::resume_run,true,n/a,n/a,n/a,n/a,Aligned,,"crates/app/src/lib.rs:1075;crates/app/src/lib.rs:1127;crates/app/src/lib.rs:1297"
1,app,feature,run.status,FeatureCatalog -> AppServices::run_status,n/a,n/a,n/a,n/a,n/a,Aligned,,"crates/app/src/lib.rs:1076;crates/app/src/lib.rs:1147;crates/app/src/lib.rs:1301"
1,app,feature,run.events,FeatureCatalog -> AppServices::run_events,n/a,n/a,n/a,n/a,n/a,Aligned,,"crates/app/src/lib.rs:1077;crates/app/src/lib.rs:1170;crates/app/src/lib.rs:1306"
1,app,feature,artifact.get,FeatureCatalog -> AppServices::artifact_get,n/a,n/a,n/a,n/a,n/a,Aligned,,"crates/app/src/lib.rs:1078;crates/app/src/lib.rs:1194;crates/app/src/lib.rs:1315"
1,app,feature,pipeline.deploy_configure_validate.start,FeatureCatalog -> app helper -> composed op start,true,true,n/a,n/a,n/a,Aligned,,"crates/app/src/lib.rs:693;crates/app/src/lib.rs:975;crates/app/src/lib.rs:1213;crates/app/src/lib.rs:1323"
1,app,feature,portfolio.snapshot,FeatureCatalog -> app helper -> portfolio_tracker start,true,true,n/a,n/a,n/a,Aligned,,"crates/app/src/lib.rs:706;crates/app/src/lib.rs:1241;crates/app/src/lib.rs:1328;crates/ops/portfolio-tracker-op/src/lib.rs:265"
2,ops,registered,keystore_import,expand -> shared KeystoreImportState,true,true,thin,1,0,Aligned,,"crates/app/src/lib.rs:387;crates/ops/keystore-admin-op/src/lib.rs:101;crates/ops/common/src/states/keystore_admin.rs:138"
2,ops,registered,keystore_list,expand -> shared KeystoreListState,true,true,thin,1,0,Aligned,,"crates/app/src/lib.rs:388;crates/ops/keystore-admin-op/src/lib.rs:160;crates/ops/common/src/states/keystore_admin.rs:215"
2,ops,registered,keystore_delete,expand -> shared KeystoreDeleteState,true,true,thin,1,0,Aligned,,"crates/app/src/lib.rs:389;crates/ops/keystore-admin-op/src/lib.rs:229;crates/ops/common/src/states/keystore_admin.rs:291"
2,ops,registered,keystore_tx_sign,expand -> op-local TxSignState,true,true,mixed,0,1,Partially aligned,B6;B7,"crates/app/src/lib.rs:390;crates/ops/keystore-tx-op/src/lib.rs:129;crates/ops/keystore-tx-op/src/lib.rs:260;crates/ops/common/src/local_io.rs:51"
2,ops,registered,keystore_tx_send_raw,expand -> op-local TxSendRawState,true,true,mixed,0,1,Partially aligned,B6;B7,"crates/app/src/lib.rs:391;crates/ops/keystore-tx-op/src/lib.rs:207;crates/ops/keystore-tx-op/src/lib.rs:335;crates/ops/common/src/local_io.rs:52"
2,ops,registered,evm_read,expand -> shared ReadU64HexState x2,true,true,thin,2,0,Aligned,,"crates/app/src/lib.rs:392;crates/ops/evm-read-op/src/lib.rs:61;crates/ops/evm-read-op/src/lib.rs:80"
2,ops,registered,evm_contract_from_nix,expand -> op-local ContractFromNixState,true,true,mixed,0,1,Partially aligned,B6;B7,"crates/app/src/lib.rs:393;crates/ops/evm-write-op/src/lib.rs:1254;crates/ops/evm-write-op/src/lib.rs:1294"
2,ops,registered,evm_deploy,expand -> op-local DeployState,true,true,mixed,0,1,Partially aligned,B6;B7,"crates/app/src/lib.rs:394;crates/ops/evm-write-op/src/lib.rs:1384;crates/ops/evm-write-op/src/lib.rs:1449;crates/ops/common/src/local_io.rs:53"
2,ops,registered,evm_configure,expand -> op-local ConfigureState,true,true,mixed,0,1,Partially aligned,B6;B7,"crates/app/src/lib.rs:395;crates/ops/evm-write-op/src/lib.rs:1560;crates/ops/evm-write-op/src/lib.rs:1660"
2,ops,registered,evm_validate,expand -> op-local ValidateState,true,true,mixed,0,1,Partially aligned,B6;B7,"crates/app/src/lib.rs:396;crates/ops/evm-write-op/src/lib.rs:1777;crates/ops/evm-write-op/src/lib.rs:1856"
2,ops,registered,evm_deploy_configure_validate,expand -> composes child ops,true,true,thin,0,0,Aligned,,"crates/app/src/lib.rs:397;crates/ops/evm-deploy-configure-validate-op/src/lib.rs:26;crates/ops/evm-deploy-configure-validate-op/src/lib.rs:68"
2,ops,registered,portfolio_tracker,expand -> 4 shared states + 1 op-local WriteSnapshotState,true,true,mixed,4,1,Partially aligned,B6,"crates/app/src/lib.rs:398;crates/ops/portfolio-tracker-op/src/lib.rs:265;crates/ops/common/src/states/evm.rs:445;crates/ops/common/src/states/evm.rs:517"
2,ops,registered,proof,expand -> 3 op-local states,true,true,mixed,0,3,Partially aligned,B6;B7,"crates/app/src/lib.rs:386;crates/ops/proof-op/src/lib.rs:132;crates/ops/proof-op/src/lib.rs:192"
2,ops,registered,nix_app,expand -> op-local NixAppState,true,true,mixed,0,1,Partially aligned,B6;B7,"crates/app/src/lib.rs:399;crates/ops/nix-app-op/src/lib.rs:100;crates/ops/nix-app-op/src/lib.rs:190"
2,ops,packaging,mfm-op-keystore,re-export wrapper around core keystore,false,false,n/a,0,0,Packaging gap,B3,"crates/ops/keystore-op/src/lib.rs:8;crates/ops/keystore-op/README.md:3"
3,states,shared,ReadHexStringState,execute JSON-RPC call + parse hex string response,n/a,n/a,n/a,n/a,n/a,Aligned,,"crates/ops/common/src/states/evm.rs:77"
3,states,shared,ReadU256HexState,execute JSON-RPC call + parse U256 hex response,n/a,n/a,n/a,n/a,n/a,Aligned,,"crates/ops/common/src/states/evm.rs:127"
3,states,shared,EthCallState,execute eth_call with configurable response decoding,n/a,n/a,n/a,n/a,n/a,Aligned,,"crates/ops/common/src/states/evm.rs:185"
3,states,shared,ReadU64HexState,execute JSON-RPC call + parse u64 hex with optional validation,n/a,n/a,n/a,n/a,n/a,Aligned,,"crates/ops/common/src/states/evm.rs:265"
3,states,shared,NativeBalanceState,fetch native ETH balance at pinned block,n/a,n/a,n/a,n/a,n/a,Aligned,,"crates/ops/common/src/states/evm.rs:445"
3,states,shared,TokenBalanceState,fetch ERC-20 balance with decimals resolution,n/a,n/a,n/a,n/a,n/a,Aligned,,"crates/ops/common/src/states/evm.rs:517"
3,states,shared,KeystoreImportState,import key into keystore via local IO,n/a,n/a,n/a,n/a,n/a,Aligned,,"crates/ops/common/src/states/keystore_admin.rs:138"
3,states,shared,KeystoreListState,list keystore keys via local IO,n/a,n/a,n/a,n/a,n/a,Aligned,,"crates/ops/common/src/states/keystore_admin.rs:215"
3,states,shared,KeystoreDeleteState,delete keystore key via local IO,n/a,n/a,n/a,n/a,n/a,Aligned,,"crates/ops/common/src/states/keystore_admin.rs:291"
3,states,op-local,TxSignState,sign tx via local IO + emit event,n/a,n/a,n/a,n/a,n/a,Not aligned,B6;B7,"crates/ops/keystore-tx-op/src/lib.rs:260"
3,states,op-local,TxSendRawState,read file + submit raw tx via RPC,n/a,n/a,n/a,n/a,n/a,Not aligned,B6;B7,"crates/ops/keystore-tx-op/src/lib.rs:335"
3,states,op-local,ContractFromNixState,adapt nix output to EVM contract artifact,n/a,n/a,n/a,n/a,n/a,Not aligned,B6;B7,"crates/ops/evm-write-op/src/lib.rs:1294"
3,states,op-local,DeployState,build deploy payload + sign + submit + poll receipt,n/a,n/a,n/a,n/a,n/a,Not aligned,B6;B7,"crates/ops/evm-write-op/src/lib.rs:1449"
3,states,op-local,ConfigureState,encode function calls + submit txs + collect receipts,n/a,n/a,n/a,n/a,n/a,Not aligned,B6;B7,"crates/ops/evm-write-op/src/lib.rs:1660"
3,states,op-local,ValidateState,verify chain ID + read/event assertions,n/a,n/a,n/a,n/a,n/a,Not aligned,B6;B7,"crates/ops/evm-write-op/src/lib.rs:1856"
3,states,op-local,WriteSnapshotState,aggregate balances into output artifact,n/a,n/a,n/a,n/a,n/a,Partially aligned,,"crates/ops/portfolio-tracker-op/src/lib.rs:377"
3,states,op-local,ReadFactsState,read input facts from namespace,n/a,n/a,n/a,n/a,n/a,Not aligned,B7,"crates/ops/proof-op/src/lib.rs:192"
3,states,op-local,ApplySideEffectState,idempotent side effect with event emission,n/a,n/a,n/a,n/a,n/a,Not aligned,B7,"crates/ops/proof-op/src/lib.rs:230"
3,states,op-local,WriteOutputState,assemble output artifact,n/a,n/a,n/a,n/a,n/a,Partially aligned,,"crates/ops/proof-op/src/lib.rs:304"
3,states,op-local,NixAppState,execute nix program with optional preflight,n/a,n/a,n/a,n/a,n/a,Partially aligned,B7,"crates/ops/nix-app-op/src/lib.rs:190"
summary,metrics,total_states,20,,,,,,,,,
summary,metrics,shared_states,9,,,,,,,,,
summary,metrics,oplocal_states,11,,,,,,,,,
